t, eta
2.480480480480480310e+01,1.701983134097065642e-01
2.486486486486486314e+01,1.512107836402316330e-01
2.492492492492492318e+01,1.304939065188464864e-01
2.498498498498498321e+01,1.084538804625190672e-01
2.504504504504504325e+01,8.551989556040848206e-02
2.510510510510510329e+01,6.212876997287845870e-02
2.516516516516516333e+01,3.870963597627608693e-02
2.522522522522522337e+01,1.566933586289019978e-02
2.528528528528528341e+01,-6.620853227333457075e-03
2.534534534534534345e+01,-2.783661567731107039e-02
2.540540540540540349e+01,-4.770965884362914078e-02
2.546546546546546352e+01,-6.603409707560363440e-02
2.552552552552552356e+01,-8.266994371012371945e-02
2.558558558558558360e+01,-9.754363250512754213e-02
2.564564564564564719e+01,-1.106456276758654711e-01
2.570570570570570723e+01,-1.220253145503523290e-01
2.576576576576576727e+01,-1.317834846732175991e-01
2.582582582582582731e+01,-1.400628343662945752e-01
2.588588588588588735e+01,-1.470369795627491649e-01
2.594594594594594739e+01,-1.528985485038183156e-01
2.600600600600600742e+01,-1.578469451961430070e-01
2.606606606606606746e+01,-1.620763792820423543e-01
2.612612612612612750e+01,-1.657647324603413186e-01
2.618618618618618754e+01,-1.690637794414099893e-01
2.624624624624624758e+01,-1.720912055082258196e-01
2.630630630630630762e+01,-1.749247670658270470e-01
2.636636636636636766e+01,-1.775988309667762555e-01
2.642642642642642770e+01,-1.801034084244892419e-01
2.648648648648648773e+01,-1.823856758647204590e-01
2.654654654654654777e+01,-1.843538541029322297e-01
2.660660660660660781e+01,-1.858832045517671838e-01
2.666666666666666785e+01,-1.868238020578101288e-01
2.672672672672672789e+01,-1.870096630112183800e-01
2.678678678678678793e+01,-1.862687481932288336e-01
2.684684684684684797e+01,-1.844333249481067971e-01
2.690690690690690801e+01,-1.813501639962787626e-01
2.696696696696696804e+01,-1.768900625923786607e-01
2.702702702702702808e+01,-1.709562265755377453e-01
2.708708708708708812e+01,-1.634911067878576096e-01
2.714714714714714816e+01,-1.544813669374143772e-01
2.720720720720720820e+01,-1.439607559797081993e-01
2.726726726726726824e+01,-1.320107635726076589e-01
2.732732732732732828e+01,-1.187590468179125502e-01
2.738738738738738832e+01,-1.043757249062545328e-01
2.744744744744744835e+01,-8.906774014140608764e-02
2.750750750750750839e+01,-7.307157424629895370e-02
2.756756756756756843e+01,-5.664468359179412188e-02
2.762762762762762847e+01,-4.005607262468646040e-02
2.768768768768768851e+01,-2.357645888010258955e-02
